avaliacao_id,cliente_id,produto_id,pedido_id,nota,titulo,comentario,criado_em,aprovado
1,46,41,2,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-12-02 14:00:00,1
2,23,23,5,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-06-23 14:00:00,1
3,33,17,6,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-11-24 13:00:00,1
4,14,38,9,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-05-26 11:00:00,1
5,41,43,32,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-04-25 13:00:00,1
6,31,17,46,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2026-02-01 13:00:00,1
7,31,24,46,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-01-27 13:00:00,1
8,14,5,48,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-07-02 11:00:00,1
9,42,41,49,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-07-03 17:00:00,1
10,15,33,50,1,Não atendeu,O produto apresentou problemas e precisei solicitar atendimento.,2025-09-12 12:00:00,1
11,40,60,51,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2025-06-16 16:00:00,1
12,40,12,51,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-06-07 16:00:00,1
13,31,31,52,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-04-13 14:00:00,1
14,16,22,55,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-03-04 14:00:00,1
15,39,60,56,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-05-29 11:00:00,1
16,50,54,58,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-06-07 12:00:00,1
17,50,40,58,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2026-06-05 12:00:00,1
18,41,1,59,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-04-20 11:00:00,1
19,2,20,60,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-01-11 14:00:00,1
20,26,15,61,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-10-23 13:00:00,1
21,15,4,62,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-06-01 10:00:00,1
22,12,18,63,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2025-04-08 14:00:00,1
23,12,25,63,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2025-04-12 14:00:00,1
24,5,29,65,1,Não atendeu,O produto apresentou problemas e precisei solicitar atendimento.,2025-11-24 17:00:00,1
25,27,6,71,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2026-01-20 14:00:00,1
26,31,49,79,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-12-05 15:00:00,1
27,12,42,80,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-01-21 11:00:00,1
28,10,6,87,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-04-06 15:00:00,1
29,10,2,87,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-04-06 15:00:00,1
30,10,35,87,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-04-06 15:00:00,1
31,6,42,92,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-10-03 14:00:00,1
32,13,22,95,3,Bom com ressalvas,"Cumpre o que promete, embora alguns detalhes possam melhorar.",2025-02-08 16:00:00,1
33,29,34,97,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-11-02 10:00:00,1
34,29,44,101,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-01-21 16:00:00,1
35,50,59,104,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2025-10-29 17:00:00,1
36,50,5,104,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-10-17 17:00:00,1
37,50,1,104,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-10-29 17:00:00,1
38,45,7,108,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2025-03-30 15:00:00,1
39,36,2,111,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-01-21 16:00:00,1
40,36,41,111,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-01-24 16:00:00,1
41,12,17,115,4,Muito bom,"Boa qualidade, entrega correta e uso simples no dia a dia.",2026-05-02 14:00:00,1
42,12,45,115,5,Excelente compra,"Produto excelente, chegou bem embalado e correspondeu à descrição.",2026-05-02 14:00:00,1
